=====================================================

Filename: ../output/zillow/data_file_manifest.log
Key: zipcode, city, stateabb, msa, county

|         |mean    |sd      |median |min     |max    |n  |na_count |
|:--------|:-------|:-------|:------|:-------|:------|:--|:--------|
|zipcode  |NA      |NA      |NA     |NA      |NA     |NA |5        |
|city     |NA      |NA      |NA     |NA      |NA     |NA |5        |
|stateabb |NA      |NA      |NA     |NA      |NA     |NA |5        |
|msa      |NA      |NA      |NA     |NA      |NA     |NA |5        |
|county   |NA      |NA      |NA     |NA      |NA     |NA |5        |
|X2014.09 |3.33 |1.76 |1.71   |3.23 |5.13 |4  |1        |
|X2014.10 |3.3  |1.74 |1.68   |3.28 |4.97 |4  |1        |
|X2014.11 |3.3  |1.76 |1.67   |3.28 |4.95 |4  |1        |
|X2014.12 |3.25 |1.72 |1.65   |3.23 |4.9  |4  |1        |
|X2015.01 |3.31 |1.72 |1.69   |3.27 |5.01 |4  |1        |
|X2015.02 |3.35 |1.75 |1.75   |3.32 |5    |4  |1        |
|X2015.03 |3.35 |1.9  |1.63   |3.32 |5.14 |4  |1        |
|X2015.04 |3.46 |1.82 |1.79   |3.39 |5.26 |4  |1        |
|X2015.05 |3.38 |1.73 |1.78   |3.31 |5.12 |4  |1        |
|X2015.06 |3.39 |1.73 |1.82   |3.3  |5.15 |4  |1        |
|X2015.07 |3.39 |1.73 |1.81   |3.3  |5.13 |4  |1        |
|X2015.08 |3.36 |1.73 |1.75   |3.28 |5.12 |4  |1        |
|X2015.09 |3.35 |1.74 |1.77   |3.29 |5.07 |4  |1        |
|X2015.10 |3.3  |1.72 |1.74   |3.25 |4.97 |4  |1        |
|X2015.11 |2.95 |1.79 |1.26   |2    |5.04 |5  |0        |
|X2015.12 |2.94 |1.79 |1.23   |1.94 |5.04 |5  |0        |
|X2016.01 |2.96 |1.82 |1.22   |1.92 |5.05 |5  |0        |
|X2016.02 |3.04 |1.8  |1.25   |2.21 |5.16 |5  |0        |
|X2016.03 |3.02 |1.77 |1.41   |2    |5.13 |5  |0        |
|X2016.04 |2.96 |1.75 |1.31   |2    |4.99 |5  |0        |
|X2016.05 |2.97 |1.73 |1.32   |1.99 |4.95 |5  |0        |
|X2016.06 |2.96 |1.72 |1.3    |2    |4.99 |5  |0        |
|X2016.07 |2.89 |1.6  |1.31   |2.05 |4.63 |5  |0        |
|X2016.08 |2.94 |1.7  |1.34   |2    |4.97 |5  |0        |
|X2016.09 |2.93 |1.72 |1.28   |1.95 |4.95 |5  |0        |
|X2016.10 |2.9  |1.71 |1.27   |1.95 |4.91 |5  |0        |
|X2016.11 |2.85 |1.73 |1.24   |1.85 |4.9  |5  |0        |
|X2016.12 |2.87 |1.73 |1.27   |1.94 |4.89 |5  |0        |
|X2017.01 |2.89 |1.7  |1.29   |1.92 |4.89 |5  |0        |
|X2017.02 |2.92 |1.72 |1.23   |2    |4.91 |5  |0        |
|X2017.03 |2.94 |1.68 |1.25   |2.08 |4.99 |5  |0        |
|X2017.04 |2.96 |1.7  |1.25   |2.07 |4.98 |5  |0        |
|X2017.05 |2.97 |1.69 |1.28   |2.08 |5    |5  |0        |
|X2017.06 |2.94 |1.66 |1.32   |2.03 |4.95 |5  |0        |
|X2017.07 |2.97 |1.67 |1.33   |2.05 |4.92 |5  |0        |
|X2017.08 |2.94 |1.67 |1.33   |2    |4.89 |5  |0        |
|X2017.09 |2.94 |1.67 |1.36   |2    |4.91 |5  |0        |
|X2017.10 |2.98 |1.76 |1.34   |1.97 |5.14 |5  |0        |
|X2017.11 |2.97 |1.72 |1.39   |2    |5.1  |5  |0        |
|X2017.12 |2.97 |1.69 |1.36   |2.08 |5.07 |5  |0        |
|X2018.01 |3    |1.71 |1.36   |2.08 |5.1  |5  |0        |
|X2018.02 |3.05 |1.76 |1.36   |2.08 |5.27 |5  |0        |
|X2018.03 |2.98 |1.65 |1.36   |2.12 |5.05 |5  |0        |
|X2018.04 |3.02 |1.67 |1.36   |2.14 |5.03 |5  |0        |
|X2018.05 |3.06 |1.71 |1.36   |2.16 |5.14 |5  |0        |
|X2018.06 |3.09 |1.7  |1.39   |2.2  |5.09 |5  |0        |
|X2018.07 |3.06 |1.68 |1.37   |2.2  |5.11 |5  |0        |
|X2018.08 |3.09 |1.76 |1.35   |2.19 |5.25 |5  |0        |
|X2018.09 |3.02 |1.73 |1.36   |2.09 |5.16 |5  |0        |
|X2018.10 |3.06 |1.79 |1.36   |2.1  |5.26 |5  |0        |
|X2018.11 |2.98 |1.67 |1.39   |2.08 |5    |5  |0        |
|X2018.12 |2.97 |1.65 |1.37   |2.1  |4.91 |5  |0        |
|X2019.01 |3.02 |1.66 |1.36   |2.2  |4.91 |5  |0        |
|X2019.02 |3.02 |1.65 |1.36   |2.25 |4.96 |5  |0        |
|X2019.03 |3.03 |1.66 |1.36   |2.25 |5.04 |5  |0        |
|X2019.04 |3.04 |1.7  |1.35   |2.19 |5.07 |5  |0        |
|X2019.05 |3.1  |1.77 |1.36   |2.18 |5.23 |5  |0        |
|X2019.06 |3.12 |1.76 |1.36   |2.2  |5.21 |5  |0        |
|X2019.07 |3.14 |1.77 |1.37   |2.2  |5.26 |5  |0        |
|X2019.08 |3.09 |1.71 |1.36   |2.25 |5.1  |5  |0        |
|X2019.09 |3.08 |1.69 |1.35   |2.28 |4.9  |5  |0        |
|X2019.10 |3.12 |1.81 |1.31   |2.21 |5.23 |5  |0        |
|X2019.11 |3.07 |1.74 |1.27   |2.22 |5    |5  |0        |
|X2019.12 |3.15 |1.83 |1.29   |2.27 |5.24 |5  |0        |


=====================================================


 

=====================================================

Filename: ../output/zillow/data_file_manifest.log
Key: zipcode, city, stateabb, msa, county

|         |mean |sd   |median |min  |max  |n  |na_count |
|:--------|:----|:----|:------|:----|:----|:--|:--------|
|zipcode  |NA   |NA   |NA     |NA   |NA   |NA |5        |
|city     |NA   |NA   |NA     |NA   |NA   |NA |5        |
|stateabb |NA   |NA   |NA     |NA   |NA   |NA |5        |
|msa      |NA   |NA   |NA     |NA   |NA   |NA |5        |
|county   |NA   |NA   |NA     |NA   |NA   |NA |5        |
|X2010.02 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2010.03 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2010.04 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2010.05 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2010.06 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2010.07 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2010.08 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2010.09 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2010.10 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2010.11 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2010.12 |NaN  |NA   |Inf    |NA   |-Inf |0  |5        |
|X2011.01 |0.64 |NA   |0.64   |0.64 |0.64 |1  |4        |
|X2011.02 |0.67 |NA   |0.67   |0.67 |0.67 |1  |4        |
|X2011.03 |0.69 |NA   |0.69   |0.69 |0.69 |1  |4        |
|X2011.04 |0.66 |NA   |0.66   |0.66 |0.66 |1  |4        |
|X2011.05 |0.68 |NA   |0.68   |0.68 |0.68 |1  |4        |
|X2011.06 |0.7  |NA   |0.7    |0.7  |0.7  |1  |4        |
|X2011.07 |0.71 |NA   |0.71   |0.71 |0.71 |1  |4        |
|X2011.08 |0.7  |NA   |0.7    |0.7  |0.7  |1  |4        |
|X2011.09 |0.7  |NA   |0.7    |0.7  |0.7  |1  |4        |
|X2011.10 |0.68 |NA   |0.68   |0.68 |0.68 |1  |4        |
|X2011.11 |0.68 |NA   |0.68   |0.68 |0.68 |1  |4        |
|X2011.12 |0.7  |NA   |0.7    |0.7  |0.7  |1  |4        |
|X2012.01 |0.69 |NA   |0.69   |0.69 |0.69 |1  |4        |
|X2012.02 |0.7  |NA   |0.7    |0.7  |0.7  |1  |4        |
|X2012.03 |0.73 |NA   |0.73   |0.73 |0.73 |1  |4        |
|X2012.04 |0.7  |NA   |0.7    |0.7  |0.7  |1  |4        |
|X2012.05 |0.69 |NA   |0.69   |0.69 |0.69 |1  |4        |
|X2012.06 |0.71 |NA   |0.71   |0.71 |0.71 |1  |4        |
|X2012.07 |0.72 |NA   |0.72   |0.72 |0.72 |1  |4        |
|X2012.08 |0.7  |NA   |0.7    |0.7  |0.7  |1  |4        |
|X2012.09 |0.68 |NA   |0.68   |0.68 |0.68 |1  |4        |
|X2012.10 |0.72 |NA   |0.72   |0.72 |0.72 |1  |4        |
|X2012.11 |0.69 |NA   |0.69   |0.69 |0.69 |1  |4        |
|X2012.12 |0.71 |NA   |0.71   |0.71 |0.71 |1  |4        |
|X2013.01 |0.72 |NA   |0.72   |0.72 |0.72 |1  |4        |
|X2013.02 |0.78 |NA   |0.78   |0.78 |0.78 |1  |4        |
|X2013.03 |0.83 |0.14 |0.73   |0.83 |0.93 |2  |3        |
|X2013.04 |1.43 |0.72 |0.74   |1.34 |2.28 |4  |1        |
|X2013.05 |1.36 |0.64 |0.73   |1.3  |2.09 |4  |1        |
|X2013.06 |1.34 |0.65 |0.73   |1.24 |2.15 |4  |1        |
|X2013.07 |2.16 |1.88 |0.75   |1.6  |5.36 |5  |0        |
|X2013.08 |2.08 |1.72 |0.73   |1.7  |4.98 |5  |0        |
|X2013.09 |2.1  |1.77 |0.72   |1.62 |5.11 |5  |0        |
|X2013.10 |2.08 |1.72 |0.71   |1.65 |4.98 |5  |0        |
|X2013.11 |2.06 |1.72 |0.71   |1.67 |4.98 |5  |0        |
|X2013.12 |2.12 |1.85 |0.72   |1.58 |5.29 |5  |0        |
|X2014.01 |2.07 |1.72 |0.72   |1.68 |4.99 |5  |0        |
|X2014.02 |2.08 |1.71 |0.73   |1.72 |4.98 |5  |0        |
|X2014.03 |2.05 |1.64 |0.73   |1.72 |4.81 |5  |0        |
|X2014.04 |2    |1.55 |0.74   |1.72 |4.6  |5  |0        |
|X2014.05 |2.05 |1.66 |0.77   |1.6  |4.86 |5  |0        |
|X2014.06 |2.13 |1.69 |0.79   |1.75 |4.98 |5  |0        |
|X2014.07 |2.23 |1.88 |0.78   |1.72 |5.4  |5  |0        |
|X2014.08 |2.21 |1.89 |0.77   |1.68 |5.4  |5  |0        |
|X2014.09 |2.2  |1.89 |0.77   |1.66 |5.4  |5  |0        |
|X2014.10 |2.2  |1.89 |0.79   |1.64 |5.4  |5  |0        |
|X2014.11 |2.17 |1.87 |0.78   |1.55 |5.34 |5  |0        |
|X2014.12 |2.18 |1.92 |0.79   |1.55 |5.46 |5  |0        |
|X2015.01 |2.15 |1.82 |0.8    |1.61 |5.25 |5  |0        |
|X2015.02 |2.2  |1.86 |0.8    |1.63 |5.34 |5  |0        |
|X2015.03 |2.19 |1.89 |0.79   |1.56 |5.4  |5  |0        |
|X2015.04 |2.21 |1.88 |0.8    |1.72 |5.4  |5  |0        |
|X2015.05 |2.23 |1.85 |0.81   |1.81 |5.34 |5  |0        |
|X2015.06 |2.16 |1.77 |0.81   |1.78 |5.16 |5  |0        |
|X2015.07 |2.17 |1.77 |0.82   |1.78 |5.16 |5  |0        |
|X2015.08 |2.24 |1.9  |0.81   |1.71 |5.46 |5  |0        |
|X2015.09 |2.21 |1.91 |0.79   |1.61 |5.46 |5  |0        |
|X2015.10 |2.18 |1.86 |0.78   |1.63 |5.34 |5  |0        |
|X2015.11 |2.2  |1.88 |0.79   |1.72 |5.4  |5  |0        |
|X2015.12 |2.17 |1.78 |0.81   |1.75 |5.16 |5  |0        |
|X2016.01 |2.18 |1.88 |0.8    |1.64 |5.4  |5  |0        |
|X2016.02 |2.19 |1.89 |0.81   |1.69 |5.43 |5  |0        |
|X2016.03 |2.21 |1.91 |0.82   |1.72 |5.46 |5  |0        |
|X2016.04 |2.23 |1.91 |0.81   |1.75 |5.46 |5  |0        |
|X2016.05 |2.18 |1.85 |0.82   |1.72 |5.34 |5  |0        |
|X2016.06 |2.22 |1.9  |0.81   |1.81 |5.46 |5  |0        |
|X2016.07 |2.17 |1.86 |0.78   |1.72 |5.34 |5  |0        |
|X2016.08 |2.2  |1.86 |0.8    |1.7  |5.34 |5  |0        |
|X2016.09 |2.17 |1.95 |0.8    |1.58 |5.52 |5  |0        |
|X2016.10 |2.18 |1.92 |0.81   |1.68 |5.46 |5  |0        |
|X2016.11 |2.16 |1.9  |0.8    |1.66 |5.4  |5  |0        |
|X2016.12 |2.18 |1.87 |0.79   |1.76 |5.34 |5  |0        |
|X2017.01 |2.18 |1.89 |0.8    |1.72 |5.4  |5  |0        |
|X2017.02 |2.24 |1.89 |0.8    |1.81 |5.4  |5  |0        |
|X2017.03 |2.19 |1.86 |0.8    |1.8  |5.34 |5  |0        |
